会员号,手机号,等级
215,18534000285,金卡
216,15738910804,普通
217,18546553418,普通
218,16935070241,银卡
219,16146728115,金卡
220,18002691775,普通
221,19926991130,普通
222,15555427291,银卡
223,16338407618,金卡
224,14421156922,普通
225,16030889154,普通
226,14670302226,银卡
227,18409220674,金卡
228,14125056772,普通
229,17651541150,普通
230,15297915751,银卡
231,18610153515,金卡
232,17707810646,普通
233,18716902098,普通
234,16604127368,银卡
235,14502010592,金卡
236,16849159813,普通
237,19947817521,普通
238,15944759683,银卡
239,18526334894,金卡
240,16516289311,普通
241,14578311331,普通
242,13086275273,银卡
243,19468691961,金卡
244,19220911643,普通
245,18098699901,普通
246,15262528813,银卡
247,13822672999,金卡
248,13373933080,普通
249,13678431533,普通
250,17369285675,银卡
251,16692702151,金卡
252,19565125816,普通
253,18695530274,普通
254,17339231975,银卡
255,17174991796,金卡
256,15535778909,普通
257,16167051103,普通
258,14691063922,银卡
259,13209420398,金卡
260,15884435697,普通
261,13676230049,普通
262,19817411365,银卡
263,13418947586,金卡
264,19317328240,普通
265,17349407632,普通
266,14789323199,银卡
267,17077869722,金卡
268,13439413852,普通
269,16412435524,普通
270,17166106799,银卡
271,15056840809,金卡
272,13993560703,普通
273,16618296325,普通
274,16891308625,银卡
275,15495404110,金卡
276,18057509216,普通
277,13220399704,普通
278,15684168421,银卡
279,19935533392,金卡
280,17039072289,普通
281,15676011214,普通
282,16779552556,银卡
283,19072608530,金卡
284,14214451379,普通
285,19380739644,普通
286,14950152717,银卡
287,19232607707,金卡
288,15887144646,普通
289,14067255761,普通
290,14094087281,银卡
291,19330051964,金卡
292,14974801679,普通
293,16716096492,普通
294,18536122440,银卡
295,13376832945,金卡
296,16801020771,普通
297,14520354709,普通
298,18290857077,银卡
299,15070374130,金卡
300,17672299779,普通
301,13635442344,普通
302,14859165589,银卡
303,15768010301,金卡
304,18263553577,普通
305,16946378065,普通
306,13709758580,银卡
307,18032958910,金卡
308,13701702202,普通
309,17229598390,普通
310,14142103541,银卡
311,17105895563,金卡
312,13203665053,普通
313,17319637022,普通
314,18529804521,银卡
315,14490135125,金卡
316,16787775098,普通
317,16645182215,普通
318,16073634130,银卡
319,13618989519,金卡
320,19440091055,普通
321,19554970954,普通
322,19108481483,银卡
323,13515188780,金卡
324,16349722774,普通
325,15918133517,普通
326,13464321093,银卡
327,19557950531,金卡
328,19922317812,普通
329,14550237410,普通
330,18760815005,银卡
331,18216831271,金卡
332,18315411036,普通
333,14433612086,普通
334,13187854968,银卡
335,15338806471,金卡
336,18752680769,普通
337,16515911526,普通
338,19770775116,银卡
339,18755864351,金卡
340,19352013314,普通
341,15411402510,普通
342,14866364638,银卡
343,15487900352,金卡
344,15412040536,普通
345,18537276016,普通
346,17646788133,银卡
347,14196590825,金卡
348,16093887288,普通
349,16001363741,普通
350,15831210045,银卡
351,17784561065,金卡
352,14491075499,普通
353,16654682621,普通
354,13111803961,银卡
355,18590144534,金卡
356,16102433365,普通
357,14670680797,普通
358,16559565791,银卡
359,14112148006,金卡
360,14595021860,普通
361,19541140584,普通
362,14969074988,银卡
363,14697275683,金卡
364,16495462292,普通
365,14084717440,普通
366,14304583064,银卡
367,18493511944,金卡
368,13228904833,普通
369,18328219686,普通
370,13735241699,银卡
371,16309605358,金卡
372,19129961269,普通
373,18409796999,普通
374,14140358994,银卡
375,15994380584,金卡
376,13089871265,普通
377,15870407010,普通
378,18173559041,银卡
379,17114256053,金卡
380,19883597799,普通
381,13144888214,普通
382,18893333101,银卡
383,14812618605,金卡
384,19945393088,普通
385,14495730648,普通
386,14135096171,银卡
387,14959816441,金卡
388,19027811239,普通
389,13354087037,普通
390,16562800651,银卡
391,13862451419,金卡
392,14289134919,普通
393,16062179348,普通
394,13942666157,银卡
395,13248804589,金卡
396,13594106855,普通
397,14378791542,普通
398,19680553957,银卡
399,18306352251,金卡
400,18500373437,普通
401,19294994286,普通
402,13801823220,银卡
403,13372933565,金卡
404,17098681261,普通
405,18619384490,普通
406,19741658028,银卡
407,15426244357,金卡
408,16815345731,普通
409,19412151438,普通
410,16169562505,银卡
411,14475920967,金卡
412,16034962091,普通
413,16749649083,普通
414,19540955882,银卡
415,19009771645,金卡
416,18019030108,普通
417,14858305957,普通
418,18445023957,银卡
419,19029571291,金卡
420,13302511636,普通
421,18829953003,普通
422,19693903066,银卡
423,18555114392,金卡
424,17190080571,普通
425,15668181480,普通
426,13900765587,银卡
427,13057094849,金卡
428,16709262827,普通
429,16238419983,普通
430,13432368564,银卡
431,19246410574,金卡
432,14621461316,普通
433,13737205604,普通
434,16609312012,银卡
435,17285212493,金卡
436,16037739409,普通
437,14459222846,普通
438,17028636860,银卡
439,17863777715,金卡
440,18118207322,普通
441,17990846286,普通
442,15812122804,银卡
443,15574177929,金卡
444,16574474558,普通
445,19881420505,普通
446,15888565007,银卡
447,16325719099,金卡
448,17079412888,普通
449,14975329598,普通
450,18679247058,银卡
451,18155212444,金卡
452,15118309136,普通
453,17503725903,普通
454,14709507209,银卡
455,18362065231,金卡
456,19941572776,普通
457,16622339283,普通
458,17971363237,银卡
459,13774320333,金卡
460,18589677289,普通
461,16466906448,普通
462,17946484619,银卡
463,16900695837,金卡
464,18170729628,普通
465,16922359396,普通
466,15390661108,银卡
467,15535360968,金卡
468,13180636713,普通
469,13166461328,普通
470,19444830204,银卡
471,16380511742,金卡
472,13621883641,普通
473,18851508394,普通
474,17507916039,银卡
475,13926270667,金卡
476,13662901154,普通
477,17891491060,普通
478,14555216182,银卡
479,19672742161,金卡
480,17146380122,普通
481,19846404010,普通
482,19557264131,银卡
483,19727849508,金卡
484,17020297078,普通
485,19357578020,普通
486,17206851235,银卡
487,15817749086,金卡
488,15336773842,普通
489,14539136546,普通
490,16084881541,银卡
491,15197726464,金卡
492,19454551175,普通
493,13211913468,普通
494,15239053128,银卡
495,15711674868,金卡
496,15353219844,普通
497,16254329323,普通
498,13293375459,银卡
499,13720976088,金卡
500,13387145312,普通
501,18840995491,普通
502,19425538492,银卡
503,13130997514,金卡
504,15593923352,普通
505,13054264213,普通
506,18748675820,银卡
507,13124029879,金卡
508,16871606834,普通
509,19460182033,普通
510,17491400320,银卡
511,19305925119,金卡
512,13536975485,普通
513,16779449043,普通
514,18287628481,银卡
515,14319132221,金卡
516,14917353760,普通
517,17412016551,普通
518,19759097852,银卡
519,13269798277,金卡
520,13279729461,普通
521,18721447029,普通
522,14631692609,银卡
523,19184810308,金卡
524,17026480757,普通
525,14446589349,普通
526,14106247006,银卡
527,19061171002,金卡
528,16441000197,普通
529,15209802031,普通
530,15549552803,银卡
531,14393716013,金卡
532,15982063271,普通
533,16679838044,普通
534,13412323082,银卡
535,17355649402,金卡
536,16802929766,普通
537,14321966032,普通
538,18295253223,银卡
539,15849384831,金卡
540,15703508052,普通
541,16094730108,普通
542,14830864619,银卡
543,13852179600,金卡
544,13811477777,普通
545,18577817705,普通
546,14909402110,银卡
547,19511332595,金卡
548,13581148751,普通
549,18403805171,普通
550,17587427107,银卡
551,14329617660,金卡
552,16253108034,普通
553,14675764448,普通
554,14321061533,银卡
555,15186134089,金卡
556,13700027733,普通
557,13656329256,普通
558,18182669777,银卡
559,17720971538,金卡
560,16536957087,普通
561,17643853703,普通
562,18384926943,银卡
563,17969586773,金卡
564,16891280459,普通
565,14357990652,普通
566,18668755176,银卡
567,17305504840,金卡
568,16072792000,普通
569,19447566063,普通
570,15101805594,银卡
571,13772409427,金卡
572,15655106076,普通
573,13588582142,普通
574,17021708951,银卡
575,19326471760,金卡
576,15450904528,普通
577,19045358210,普通
578,19981973102,银卡
579,19429106944,金卡
580,13604281438,普通
581,16795990313,普通
582,18766908898,银卡
583,17347847318,金卡
584,19075481250,普通
585,13819327599,普通
586,14705025665,银卡
587,18292624372,金卡
588,13047396200,普通
589,14110640190,普通
590,13385094839,银卡
591,13190925060,金卡
592,17263819091,普通
593,13437706859,普通
594,18481629837,银卡
595,18693525547,金卡
596,16280939038,普通
597,15529374811,普通
598,18191342561,银卡
599,16758421364,金卡
600,16668428204,普通
601,16012797076,普通
602,13077751055,银卡
603,16507264374,金卡
604,13866389105,普通
605,17869439941,普通
606,19485298799,银卡
607,18583418545,金卡
608,17656488453,普通
609,18048426274,普通
610,18538937488,银卡
611,19135681383,金卡
612,19298847627,普通
613,17230331234,普通
614,19002847902,银卡
615,14021166899,金卡
616,14508502344,普通
617,15927740502,普通
618,15685646356,银卡
619,17248877392,金卡
620,14437582557,普通
621,17888340568,普通
622,17806740535,银卡
623,15700277734,金卡
624,15898135553,普通
625,16604267683,普通
626,18049383776,银卡
627,14441172511,金卡
628,18009893826,普通
629,17161391277,普通
630,15878702286,银卡
631,17537938048,金卡
632,15112000357,普通
633,13863338403,普通
634,15831136598,银卡
635,18740709758,金卡
636,18920422507,普通
637,14436779707,普通
638,18259800248,银卡
639,15137029526,金卡
640,14187219236,普通
641,16559887405,普通
642,13524919486,银卡
643,17292543843,金卡
644,19855375555,普通
645,16989828681,普通
646,19499888965,银卡
647,19418944881,金卡
648,17828918176,普通
649,16464981847,普通
650,13229313316,银卡
651,13876982416,金卡
652,13171239745,普通
653,14374324332,普通
654,17967948414,银卡
655,15200612105,金卡
656,15686578628,普通
657,18328495851,普通
658,14565364498,银卡
659,14779615436,金卡
660,15000883903,普通
661,19633789816,普通
662,15772286938,银卡
663,19434785939,金卡
664,13654060056,普通
665,16779599480,普通
666,19558519415,银卡
667,19476498501,金卡
668,18345860455,普通
669,18568917681,普通
670,19509214818,银卡
671,14545624368,金卡
672,15493499123,普通
673,19475404876,普通
674,15841016472,银卡
675,13050162716,金卡
676,13194164806,普通
677,16083378650,普通
678,17818407375,银卡
679,17770342311,金卡
680,14609253827,普通
681,15802483647,普通
682,16670598027,银卡
683,18400690838,金卡
684,17666962517,普通
685,16030066966,普通
686,14040981465,银卡
687,16738160972,金卡
688,13853129891,普通
689,14450353827,普通
690,17118859354,银卡
691,15069194037,金卡
692,15739870047,普通
693,19039674889,普通
694,17455350688,银卡
695,15387562078,金卡
696,13288355101,普通
697,19809870519,普通
698,15353969641,银卡
699,17028559164,金卡
700,14639399925,普通
701,16551673086,普通
702,16325742718,银卡
703,15878434398,金卡
704,16803143239,普通
705,14839603699,普通
706,17665975925,银卡
707,13313737826,金卡
708,13668131860,普通
709,14791785633,普通
710,13328124355,银卡
711,17027488845,金卡
712,17052583215,普通
713,18845593619,普通
714,14525734071,银卡
715,15084772096,金卡
716,18051616414,普通
717,19966198194,普通
718,14512625570,银卡
719,14095780922,金卡
720,13646316156,普通
721,19567533318,普通
722,13933210086,银卡
723,19181690211,金卡
724,17749782919,普通
725,17452974924,普通
726,15661598807,银卡
727,16424862527,金卡
728,13103825939,普通
729,14056949259,普通
730,13083242491,银卡
731,16504653239,金卡
732,19941303107,普通
733,15932880684,普通
734,13559781144,银卡
735,19259112468,金卡
736,15789625959,普通
737,14975694756,普通
738,14478023477,银卡
739,16715833942,金卡
740,15009527052,普通
741,19849704009,普通
742,19068361088,银卡
743,14449824756,金卡
744,14312714517,普通
745,14593454745,普通
746,19421971905,银卡
747,17993323942,金卡
748,13045966837,普通
749,16627839068,普通
750,19947063171,银卡
751,13978700965,金卡
752,15257047369,普通
753,17430755001,普通
754,19652192638,银卡
755,14550371086,金卡
756,13422032176,普通
757,13624300995,普通
758,13450223455,银卡
759,16648215826,金卡
760,13711244327,普通
761,19249336244,普通
762,14453464805,银卡
763,19922583124,金卡
764,18061119860,普通
765,17344765790,普通
766,13308615882,银卡
767,14162524213,金卡
768,17547407134,普通
769,14607890963,普通
770,15943236757,银卡
771,17435690641,金卡
772,15915954011,普通
773,15944765319,普通
774,19319772811,银卡
775,15704747165,金卡
776,16571995067,普通
777,14485406658,普通
778,19207058129,银卡
779,13642398179,金卡
780,13639033429,普通
781,18875923021,普通
782,19616435283,银卡
783,15229696434,金卡
784,18034999556,普通
785,17722735621,普通
786,17565740548,银卡
787,13382655096,金卡
788,13361829501,普通
789,16347634624,普通
790,18380606276,银卡
791,19151753126,金卡
792,14950743429,普通
793,15480071855,普通
794,17334218534,银卡
795,13195520122,金卡
796,15814958619,普通
797,18053079158,普通
798,13450104252,银卡
799,13131640531,金卡
800,19318822985,普通
801,19127838782,普通
802,18068127088,银卡
803,19085287375,金卡
804,14702275699,普通
805,13234405360,普通
806,17658109547,银卡
807,13614500869,金卡
808,18384598931,普通
809,16122336618,普通
810,14468023707,银卡
811,15399288787,金卡
812,13291326249,普通
813,18128131370,普通
814,13913659825,银卡
815,13181604368,金卡
816,17514971605,普通
817,18168068064,普通
818,15244989599,银卡
819,18549660882,金卡
820,15390687486,普通
821,19970836461,普通
822,13880941506,银卡
823,16100608818,金卡
824,17554451866,普通
825,15229871924,普通
826,17987430021,银卡
827,17580494684,金卡
828,19525891988,普通
829,19091514802,普通
830,14476414104,银卡
831,19889767647,金卡
832,14710827120,普通
833,18076736376,普通
834,18065105703,银卡
835,16346729177,金卡
836,19090738432,普通
837,16338559325,普通
838,16739319555,银卡
839,13508942577,金卡
840,13549558459,普通
841,16421036596,普通
842,18975353481,银卡
843,17266666449,金卡
844,17449312626,普通
845,14955532204,普通
846,15266197368,银卡
847,13752980601,金卡
848,15698672253,普通
849,16885518150,普通
850,16019796513,银卡
851,13199301594,金卡
852,17875038565,普通
853,13045008926,普通
854,19847256813,银卡
855,17998331365,金卡
856,17901115304,普通
857,14417152602,普通
858,14920308572,银卡
859,16422314568,金卡
860,19128477858,普通
861,17437339066,普通
862,14195010829,银卡
863,13016868758,金卡
864,13137169037,普通
865,18308420135,普通
866,14300770459,银卡
867,13039994872,金卡
868,18839482539,普通
869,16277806951,普通
870,14560869471,银卡
871,17253844996,金卡
872,14233272692,普通
873,18565557288,普通
874,18239717754,银卡
875,13520579583,金卡
876,15667023113,普通
877,15678503593,普通
878,16081618044,银卡
879,14209195811,金卡
880,17132511474,普通
881,16959709360,普通
882,13712446355,银卡
883,16572289512,金卡
884,13620341947,普通
885,17013632070,普通
886,19467370728,银卡
887,14690789572,金卡
888,15354091528,普通
889,18626986211,普通
890,17288084703,银卡
891,19572922410,金卡
892,15650131569,普通
893,19606447307,普通
894,18848411732,银卡
895,13894403810,金卡
896,13457013190,普通
897,17575224468,普通
898,15896682959,银卡
899,15141690125,金卡
900,19257032914,普通
901,18082535474,普通
902,14150105745,银卡
903,14708908872,金卡
904,19038637589,普通
905,18470397313,普通
906,14714225916,银卡
907,17558704647,金卡
908,13821579325,普通
909,15397304806,普通
910,14833516974,银卡
911,16530382814,金卡
912,19957249782,普通
913,13911015519,普通
914,13524181253,银卡
915,15006754062,金卡
916,17820893724,普通
917,19643534160,普通
918,18022916659,银卡
919,17272576942,金卡
920,16353865914,普通
921,16632445254,普通
922,14472102798,银卡
923,16763602649,金卡
924,14169272225,普通
925,13044305203,普通
926,16593474686,银卡
927,18986682835,金卡
928,13097759648,普通
929,15580546386,普通
930,16308403965,银卡
931,19581146954,金卡
932,17611028921,普通
933,19664847689,普通
934,13884752971,银卡
935,17395466889,金卡
936,14072752251,普通
937,19667839535,普通
938,17440225966,银卡
939,14579052142,金卡
940,17833578804,普通
941,13589996123,普通
942,15976809156,银卡
943,13208032908,金卡
944,15189550954,普通
945,15420841571,普通
946,15329126714,银卡
947,16247948160,金卡
948,17207952540,普通
949,16501270442,普通
950,13573936602,银卡
951,13599077401,金卡
952,16533966792,普通
953,17885467415,普通
954,13546659614,银卡
955,19973608028,金卡
956,15998066457,普通
957,19394806134,普通
958,17330660604,银卡
959,16072116868,金卡
960,16999217820,普通
961,15667154358,普通
962,17829468716,银卡
963,19966454486,金卡
964,16849570707,普通
965,16326739423,普通
966,15271416666,银卡
967,14854108916,金卡
968,19937842660,普通
969,14260863362,普通
970,14498790147,银卡
971,16368884337,金卡
972,19796901198,普通
973,14536794356,普通
974,14882313669,银卡
975,15837235832,金卡
976,13615317925,普通
977,18943369434,普通
978,13512356315,银卡
979,18525698575,金卡
980,18226694661,普通
981,19453167832,普通
982,19445153966,银卡
983,18694577080,金卡
984,18738952698,普通
985,14514934504,普通
986,14466950439,银卡
987,19918392243,金卡
988,17013295536,普通
989,14519340646,普通
990,16866061488,银卡
991,17545114030,金卡
992,13449252040,普通
993,14359920824,普通
994,17939744629,银卡
995,16226309819,金卡
996,14288068120,普通
997,17018847627,普通
998,15271680936,银卡
999,14595443064,金卡
1000,13986337503,普通
1001,19095496097,普通
1002,13076427904,银卡
1003,19662493341,金卡
1004,14059381083,普通
1005,13318254048,普通
1006,19988258595,银卡
1007,13691016165,金卡
1008,19480773695,普通
1009,18923113907,普通
1010,14009584848,银卡
1011,14313089063,金卡
1012,14693088977,普通
1013,14994941779,普通
1014,15205142253,银卡
1015,16761077931,金卡
1016,19796390712,普通
1017,15083367868,普通
1018,19007551058,银卡
1019,17368571652,金卡
1020,17497761072,普通
1021,19999321549,普通
1022,19960586430,银卡
1023,16122174483,金卡
1024,17127390817,普通
1025,17622352824,普通
1026,19822936545,银卡
1027,13309522588,金卡
1028,15216615197,普通
1029,17883221431,普通
1030,17515095531,银卡
1031,13062769275,金卡
1032,19131735787,普通
1033,19839416142,普通
1034,19747310161,银卡
1035,13472278349,金卡
1036,15908009691,普通
1037,16790254147,普通
1038,16424422975,银卡
1039,14066072962,金卡
1040,17008403047,普通
1041,15301942935,普通
1042,19262601081,银卡
1043,17141532945,金卡
1044,17267607227,普通
1045,16075198675,普通
1046,17962180111,银卡
1047,16047336452,金卡
1048,14310241292,普通
1049,15647480758,普通
1050,19621392718,银卡
1051,14854511145,金卡
1052,14788170763,普通
1053,19023559269,普通
1054,18598716577,银卡
1055,13889592532,金卡
1056,17344234284,普通
1057,19120395128,普通
1058,19715070759,银卡
1059,13804327066,金卡
1060,18976298028,普通
1061,16799495905,普通
1062,18119723981,银卡
1063,13841363626,金卡
1064,16181868134,普通
1065,15080326520,普通
1066,15235580555,银卡
1067,15153181591,金卡
1068,15221042979,普通
1069,19171049855,普通
1070,13085753312,银卡
1071,14658786636,金卡
1072,17750152260,普通
1073,14872515079,普通
1074,15697527548,银卡
1075,14513050027,金卡
1076,19913627388,普通
1077,13391293837,普通
1078,13150591205,银卡
1079,14844244884,金卡
1080,15840384870,普通
1081,16959514674,普通
1082,16968432128,银卡
1083,18651047580,金卡
1084,13958118934,普通
1085,18913626128,普通
1086,19431392855,银卡
1087,15971247526,金卡
1088,14327860236,普通
1089,14096009700,普通
1090,16782786049,银卡
1091,15328894775,金卡
1092,17203755927,普通
1093,16583494553,普通
1094,16110942970,银卡
1095,16245886661,金卡
1096,13414645430,普通
1097,15383832716,普通
1098,14347317154,银卡
1099,15614496048,金卡
1100,16635183693,普通
1101,18594768978,普通
1102,14228223665,银卡
1103,16713288549,金卡
1104,16063718133,普通
1105,19086026919,普通
1106,15865818211,银卡
1107,19287758327,金卡
1108,19449514236,普通
1109,14433076860,普通
1110,14011340714,银卡
1111,13421058175,金卡
1112,18579029440,普通
1113,17736373598,普通
1114,17786382211,银卡
1115,18777798567,金卡
1116,18843295895,普通
1117,13009830241,普通
1118,16140626833,银卡
1119,18678210850,金卡
1120,17584186346,普通
1121,14747785635,普通
1122,16717345015,银卡
1123,17873126986,金卡
1124,13326378672,普通
1125,16205963824,普通
1126,16742018035,银卡
1127,16288383909,金卡
1128,13830276355,普通
1129,16906437045,普通
1130,18391686095,银卡
1131,18705168685,金卡
1132,19316404794,普通
1133,14910980753,普通
1134,18232999526,银卡
1135,15819011343,金卡
1136,15916784876,普通
1137,15558398932,普通
1138,14978890247,银卡
1139,13964260405,金卡
1140,17417456623,普通
1141,16140750786,普通
1142,16409148418,银卡
1143,18425759772,金卡
1144,16755150747,普通
1145,17185369794,普通
1146,17760866687,银卡
1147,15333652214,金卡
1148,16790788775,普通
1149,15010783893,普通
1150,16799671126,银卡
1151,14282457528,金卡
1152,14265574555,普通
1153,14846709975,普通
1154,19481506453,银卡
1155,17061861902,金卡
1156,14252808331,普通
1157,14059486199,普通
1158,15572840606,银卡
1159,17834901163,金卡
1160,19081800513,普通
1161,13308458146,普通
1162,14814748124,银卡
1163,16721486741,金卡
1164,18600023912,普通
1165,16335114285,普通
1166,17018691242,银卡
1167,19904456517,金卡
1168,14074919406,普通
1169,16705748608,普通
1170,19007521666,银卡
1171,14896082184,金卡
1172,18452312580,普通
1173,18142688409,普通
1174,13357875795,银卡
1175,18173814192,金卡
1176,13238231967,普通
1177,13300489153,普通
1178,17900602726,银卡
1179,17902925001,金卡
1180,15471136059,普通
1181,18181384270,普通
1182,17622984078,银卡
1183,13708085327,金卡
1184,15043546026,普通
1185,14402337226,普通
1186,18768741964,银卡
1187,17090547365,金卡
1188,18066646991,普通
1189,14788291139,普通
1190,17153950182,银卡
1191,15919218305,金卡
1192,18507419307,普通
1193,15061024995,普通
1194,19511775666,银卡
1195,18926664488,金卡
1196,18208198979,普通
1197,17914859922,普通
1198,15485295740,银卡
1199,13225258918,金卡
1200,14314575882,普通
1201,18675075250,普通
1202,19012072343,银卡
1203,15366956350,金卡
1204,15825218174,普通
1205,18796722822,普通
1206,16755375316,银卡
1207,13755418744,金卡
1208,18714764820,普通
1209,17890986923,普通
1210,15891818019,银卡
1211,19411385848,金卡
1212,16121745073,普通
1213,14784221399,普通
1214,18929588320,银卡
1215,15115659460,金卡
1216,15927501937,普通
1217,18641610357,普通
1218,16541948164,银卡
1219,18986918795,金卡
1220,15976139414,普通
1221,18641158126,普通
1222,13605505939,银卡
1223,13753368276,金卡
1224,17612946559,普通
1225,14618351885,普通
1226,17260487267,银卡
1227,13432325665,金卡
1228,14461725960,普通
1229,13235371465,普通
1230,15464315196,银卡
1231,15589013283,金卡
1232,15558206424,普通
1233,18901651186,普通
1234,15833553584,银卡
1235,19885142852,金卡
1236,16997806250,普通
1237,19273239931,普通
1238,17269291177,银卡
1239,18811962848,金卡
1240,17735329690,普通
1241,18591524339,普通
1242,13806411545,银卡
1243,14437832633,金卡
1244,17869351516,普通
1245,18409426336,普通
1246,16085674128,银卡
1247,18725185986,金卡
1248,17506116555,普通
1249,13181543435,普通
1250,17512197715,银卡
1251,19551542126,金卡
1252,19608722847,普通
1253,14200058702,普通
1254,19707666261,银卡
1255,13286029150,金卡
1256,19522234122,普通
1257,19366945459,普通
1258,18011830319,银卡
1259,17112373904,金卡
1260,19538762898,普通
1261,17639128305,普通
1262,13072501712,银卡
1263,18149333426,金卡
1264,18889834559,普通
1265,15218434046,普通
1266,13846357323,银卡
1267,19159633156,金卡
1268,16447302437,普通
1269,14953311158,普通
1270,13869458480,银卡
1271,19915660414,金卡
1272,14821340763,普通
1273,18821368760,普通
1274,15233914903,银卡
1275,14391490197,金卡
1276,17572351897,普通
1277,15522435083,普通
1278,17230605014,银卡
1279,15550497554,金卡
1280,14656187972,普通
1281,15953563008,普通
1282,14241790987,银卡
1283,17367478952,金卡
1284,18027560131,普通
1285,18133940813,普通
1286,13230538595,银卡
1287,14757385170,金卡
1288,18264129198,普通
1289,13971273435,普通
1290,14392288779,银卡
1291,13659707752,金卡
1292,14943958406,普通
1293,17369233762,普通
1294,16104853818,银卡
1295,14654826851,金卡
1296,17645259672,普通
1297,19714102304,普通
1298,19768514655,银卡
1299,13925556695,金卡
1300,16576562489,普通
1301,15758025523,普通
1302,14286903131,银卡
